id,seller_id,buyer_id,transaction_id,rating,text,timestamp
9935a640-1055-481a-83b5-73be58065fd1,4f12e15a-5e3b-4720-bc45-f3519e8e9eb7,40d0ac7b-3e03-4137-906d-b63f4cc907d4,ff526531-9cca-4526-8d7f-983473b58002,5,Saepe perferendis itaque sunt nam.,2026-02-15T06:27:53
13b9e4ed-81b2-4884-8cd3-0a88c1ec9166,b35bc4c0-34b3-4f1f-a958-f3b47fca96d0,c4949436-5e65-49d9-aea7-f80070e678f7,2d5e450d-b8e0-4f90-a28d-6fc25776e6f3,5,Quasi fuga tenetur iure quidem explicabo unde dicta.,2025-12-01T10:53:38
a07c636d-6226-4ce8-a67b-358b10c076e9,a26b75a0-aae4-48bf-a270-ae7c91ca0b9c,989662f2-4543-4812-9e51-246f73635337,01df46aa-68fa-4f18-8f8e-456565c3a460,4,Tempora aliquam aliquid voluptates.,2025-03-05T07:51:05
24dc2110-0499-446d-9ec8-ce21588eee94,3a9aac77-18b8-422e-a49f-e74ae51b3ad5,665005e9-4708-4846-adaf-53e75af92af4,9499e3be-611a-4aa9-816b-9df7a25dc705,5,Ad totam quis libero corporis.,2026-01-21T19:06:07
b14d75e2-6f8c-4578-b58d-437fc9aa7c47,3a9aac77-18b8-422e-a49f-e74ae51b3ad5,51c1d1a5-2aa1-464a-beab-b8bc502c94c1,06138649-0a08-493f-921d-90ce2e774860,5,Suscipit consectetur pariatur nulla inventore nemo magnam.,2026-01-25T19:06:07
50dcbec9-5b29-4a50-9e07-5fc1c7f7c7af,d330edb2-ed47-43d9-8869-0d6605b248c6,fdecb547-34ad-4e34-968a-7c1599d36f68,8b9bf662-f7e7-4672-9191-2b0ddc572fdc,5,Sint veniam itaque possimus.,2025-01-13T05:05:51
f443969c-9029-482c-a049-86d5d5e84e49,8ccb1605-3088-457d-ba43-7b7a1997f568,3ee143bf-5462-4e6e-b1b9-ccd73b48b56f,bf3633c5-5301-4522-bae9-216b948c83fd,5,Nihil possimus error quos ipsam perspiciatis.,2023-08-14T09:27:25
b97f6be0-c2ca-4069-b769-52bd5baf1f62,eb93edab-eebc-4219-b123-fa8f1ebe6d0f,64291126-5a08-4833-9a28-c91adc47b66e,bd5ae3ee-5b9b-4d50-bdc0-c89fd90745d6,5,Sequi sed nulla dolorem facilis laudantium.,2023-09-29T23:29:38
543a8694-6504-48a0-a845-65449c2433c3,e0b323ce-9583-45a2-b534-046f22faeaa3,165348c8-12ff-4ed5-8a84-36ede917d956,61018d71-64b7-4da8-9fff-4aede7d2acc1,4,Amet officiis non quaerat natus voluptas.,2025-08-16T01:25:04
54b03139-46ac-494e-85ff-74b64c9d29e6,9c4023d4-82d6-4519-ae0e-eb5e1a6be20d,375dbeb6-82f8-4a51-8c21-03a1f77b8a56,c6c0aaf7-7f18-41ec-bf72-933483b740cf,5,Nemo placeat animi illum quis ratione maxime.,2025-12-24T15:34:54
47068c46-c68f-4377-8132-fa96ba1933c6,ea81d89c-9640-4c27-8ef7-2f0101c363d7,330836e7-02d3-43eb-87e3-34b599ce65fe,c2c2acab-fe4d-4697-a43b-ebceee30d518,5,Occaecati asperiores aliquid labore cumque.,2023-10-27T23:50:31
298fac64-9acc-4ca8-8605-f16cfd270521,dbbfa578-afe0-4b04-a548-4df7069633fe,4229a2d5-b05b-4274-9563-181dc580fbc9,b9c14564-f922-40d5-b744-faef8466dbdc,5,Ipsum harum officiis porro id.,2025-01-02T02:13:04
