id,seller_id,buyer_id,amount,status,timestamp,delivery_time_days
3c2dfe1d-992e-47ff-9420-108357fa5ebc,06023ba1-d2ea-4965-b6c4-140b24508243,6f849a46-2590-4597-8bc1-40e130ef1c08,411.59,completed,2023-08-05T03:25:19,10
9c890e5f-0584-4c8a-9e57-2b0e73e702d2,7dbfc9d4-b9e8-4875-a933-715737017d29,cb730aad-0a0d-46ca-935d-d8d3d7d144a3,473.65,refunded,2025-04-20T19:32:12,1
3f609743-75db-4896-981f-342a5424c451,3bd95382-24a1-4cc2-a715-c2d9a4f27086,1e1a573e-2f9d-4103-bb4d-7bc530591115,220.25,completed,2026-01-29T03:00:44,5
09e70337-d947-40a6-944a-6980dceaaec1,2ecfa403-08de-40ee-a317-3c4449a39c61,96f9109e-0f16-42f2-9cd6-13ed4ad5708d,422.5,disputed,2023-05-27T14:11:59,3
9b32d8d2-93af-47d3-be3c-5fd12b60f206,42359bf0-ecf0-48ea-9d61-149a5eff6336,f22b6cca-e1c5-4acb-bb93-624e1cde44ff,224.76,completed,2025-05-11T00:50:34,2
217586b2-1ff9-4ac4-a74e-5e7862210869,efff9f29-45ce-478f-b2da-1a030b9ec6f5,4192f5a2-9fc3-46a2-bc89-8c570bfb44b1,398.71,completed,2024-09-11T09:37:56,12
4e0cc712-9a95-4ee5-8774-19bfe62804d5,a008cb79-14d5-4ff8-8a4f-e3eafd6a5815,64c6cb79-c897-4778-93f6-5dc9a6ad5870,328.73,completed,2025-06-06T22:40:35,13
bae33a69-efbd-4ac1-85ef-aa4a37629eb8,47e8b691-f5b4-43e6-86b3-8bb11ba0b3fb,76eea47c-c7cb-4351-9b0d-4a285b7e3427,214.74,completed,2025-07-20T12:18:34,11
f2f04670-91cc-403c-b3c2-284cfb9812e6,968ff364-3b4a-4da5-bcef-3185055ed908,4e7c389f-ed71-4f5c-a064-2bc8880c8b3b,449.95,disputed,2025-12-09T08:52:51,13
3d4a6753-66e0-4e86-889a-b822c8821353,ef2b11ef-3bf5-47a5-9cf1-62c545b37577,ab2384d4-d10b-4768-af49-dfe142c2528f,78.73,completed,2024-10-26T04:47:58,11
48c59286-a216-4e15-9bb3-a4e83a233b5c,f5a37d23-8074-46a1-b56d-33af85f01d6f,6e047c6f-a329-49c0-9359-7a360a0b7202,311.22,refunded,2024-08-08T18:30:16,9
2c5c0eea-56b9-41d4-841d-a7a7b942c75f,a56d0d87-2386-4ccd-983d-afb464e9afef,388ed9b9-8608-419c-b4e8-a015a3a01095,22.97,completed,2024-08-21T05:27:38,12
821969b4-6ccd-4fde-bfc4-c76b4d7d8eb1,786aa936-509f-467c-b965-e720c6ae7551,e5a7bbd8-491e-4d8e-bebf-f1deeb807d59,480.53,cancelled,2024-11-06T03:55:10,5
9594aed0-56d3-40ca-91e9-6555619079f1,685e5b21-63c1-42ef-bac3-13a70a015586,86175428-b1b6-41dd-9e08-54d6d0966aa8,150.47,completed,2026-02-11T23:47:13,10
cc283914-2693-45bd-8f69-97d558cb65bc,2c21fc35-b91b-44b9-86a5-78ee2cf74979,37e6c13a-a243-4d1c-bb46-e52c09be65f2,488.09,completed,2023-05-05T09:30:47,2
a8555e6b-9693-448a-84e9-df9949738dab,b2776e98-b3dd-4e3f-ab2e-39e5c8a5754b,b30b0f2f-d026-4fc7-855b-5b547194a5a7,372.64,completed,2025-10-09T01:45:48,10
3d1aa10b-33a9-4a83-9906-3d459a12f075,487d2f52-af45-44a6-a5b5-d3f55debe935,4e7c389f-ed71-4f5c-a064-2bc8880c8b3b,402.55,completed,2025-12-08T12:43:42,6
d22c24ab-89a4-4460-a35e-f6defff70d0f,863f5b1f-afbb-4628-bb60-502ec245f480,7d8a96e5-ae40-4c42-9ef3-15a375674e37,154.26,completed,2025-10-09T10:32:10,11
70f98379-e3ec-4d29-a6ac-aabdba62ee73,f06fb8de-bd4f-4430-9d8a-f84b95b89a39,55fc57ff-918f-49c3-9b1a-1843ec954440,129.42,cancelled,2024-07-14T19:17:10,13
10808101-7b54-40c4-a0f2-327025774228,be943418-023b-489a-8dfd-8b4ecd3f18c7,ed7c25e0-d950-4316-96ca-aad06348051d,242.94,completed,2026-02-06T02:12:19,8
5fcbdfd8-ff79-4e25-9278-3ebd6a9f1591,f426284b-449d-4704-b0a9-813e25e842e8,0ec0bb31-9939-4285-a044-11da4527a2d0,132.74,completed,2024-01-13T20:05:54,13
c94579ea-af68-4e6c-a198-29a0aca8b1e5,7bfbcb92-a611-4847-83a5-3c5f9f76c054,3dc06604-c336-4d6d-b57f-1beca6493da5,400.67,completed,2025-12-03T07:20:26,10
b03c91cd-2202-4259-a30b-3bac2b7a7073,b7ca61a4-f230-486d-bab6-f9d47424cab9,2c11581f-09bd-41ac-b57c-87c93f7a0b0f,86.07,completed,2023-12-09T23:51:19,1
1ca92233-38df-4980-b074-e70158bfaf19,552683a7-81e4-482b-8465-8ef79dbc51ae,39139001-bb4f-4744-92a6-f0d887d1a065,326.57,completed,2025-01-29T03:41:22,5
23e229fb-5a46-4776-ae09-5dda1059005f,02326356-5e10-4d0f-a286-d3b4da7cd7d8,d1c1d55a-d9df-4286-8ed8-8384f0985cbb,221.35,completed,2024-02-10T10:50:02,4
a4299210-8e77-46d7-bf7b-59181d79273f,019687b1-ed57-47a6-bd42-ce6cbba1b047,5a02b9ca-1d5f-4da7-baa8-73306b045b62,478.51,cancelled,2025-05-05T08:54:13,2
9cba9621-5148-42a1-a7dc-e883208b5f08,44ebc6f7-eda0-4d4d-8ab2-0abce5fcca64,292a21b9-1e45-43f9-a99d-7d5f7a14d6b5,265.2,disputed,2023-06-04T06:12:23,2
ea7377f1-f4be-4f28-8738-ef27224d8424,8b97a7d6-a92e-4386-82e5-ff16f75bdeb9,79864a5e-fc48-4809-bedc-cc6c93e2d358,94.64,completed,2024-05-16T06:24:59,1
f9263ec6-bbcc-454c-8ac5-b62a5f5b196f,5fea2b09-a29e-4614-a81b-4eec363079ee,1997e7de-8364-4888-bf9d-f8178a69660f,422.35,completed,2024-09-20T12:08:11,6
87aba532-7c27-4ce6-8820-703a28f80cec,a865d3bc-667e-4c31-bdff-67b4acf12be3,5bdb1fe6-4cb5-4caa-9fc5-344a9a74eca4,223.38,refunded,2025-10-19T11:54:19,13
4f4322da-9517-4dd8-a978-66bb414aca7c,433d3254-bd2c-4beb-bcb1-4fb50fbe4b9d,e0b4460d-41a3-488f-bbf5-aef2b9142b7f,377.13,completed,2025-10-29T18:46:37,9
d1c7d0b3-1b36-487d-8054-0974c219d273,195f5dc2-118f-47d2-9a9d-f310af6f7b28,142aedd1-ce50-4c9e-aa52-404de4743b94,149.73,refunded,2026-01-25T10:27:16,4
